VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
431, 144, -0.03467,  6.02660E-06, -0.98796, -0.03507,  6.09632E-06, -0.99938,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.37607
432, 146, -0.06904,  6.02660E-06, -0.98617, -0.06984,  6.09617E-06, -0.99756,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38139
433, 145, -0.03406, -6.34522E-06, -0.97024,  0.03508,  6.53583E-06,  0.99938,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.37607
434, 144, -0.03467,  6.02660E-06, -0.98796, -0.03507,  6.09632E-06, -0.99938,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.37607
435, 147, -0.06782, -6.34522E-06, -0.96849,  0.06986,  6.53567E-06,  0.99756,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38139
436, 145, -0.03406, -6.34522E-06, -0.97024,  0.03508,  6.53583E-06,  0.99938,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.37607
437, 146, -0.06904,  6.02660E-06, -0.98617, -0.06984,  6.09617E-06, -0.99756,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38139
438, 148, -0.1031,  6.02708E-06, -0.98323, -0.10429,  6.09647E-06, -0.99455,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38668
439, 147, -0.06782, -6.34522E-06, -0.96849,  0.06986,  6.53567E-06,  0.99756,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38139
440, 146, -0.06904,  6.02660E-06, -0.98617, -0.06984,  6.09617E-06, -0.99756,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38139
441, 149, -0.10127, -6.34473E-06, -0.96559,  0.10431,  6.53496E-06,  0.99454,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38668
442, 147, -0.06782, -6.34522E-06, -0.96849,  0.06986,  6.53567E-06,  0.99756,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38139
443, 148, -0.1031,  6.02708E-06, -0.98323, -0.10429,  6.09647E-06, -0.99455,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38668
444, 150, -0.13683,  6.02806E-06, -0.97914, -0.1384,  6.09726E-06, -0.99038,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39193
445, 149, -0.10127, -6.34473E-06, -0.96559,  0.10431,  6.53496E-06,  0.99454,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38668
446, 148, -0.1031,  6.02708E-06, -0.98323, -0.10429,  6.09647E-06, -0.99455,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.38668
447, 151, -0.13439, -6.34425E-06, -0.96158,  0.13841,  6.53425E-06,  0.99037,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39193
448, 149, -0.10127, -6.34473E-06, -0.96559,  0.10431,  6.53496E-06,  0.99454,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.38668
449, 150, -0.13683,  6.02806E-06, -0.97914, -0.1384,  6.09726E-06, -0.99038,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39193
450, 152, -0.17019,  6.02854E-06, -0.97392, -0.17214,  6.09757E-06, -0.98507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39715
451, 151, -0.13439, -6.34425E-06, -0.96158,  0.13841,  6.53425E-06,  0.99037,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39193
452, 150, -0.13683,  6.02806E-06, -0.97914, -0.1384,  6.09726E-06, -0.99038,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39193
453, 153, -0.16716, -6.34327E-06, -0.95645,  0.17216,  6.53305E-06,  0.98507,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39715
454, 151, -0.13439, -6.34425E-06, -0.96158,  0.13841,  6.53425E-06,  0.99037,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39193
455, 152, -0.17019,  6.02854E-06, -0.97392, -0.17214,  6.09757E-06, -0.98507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39715
456, 154, -0.20318,  6.02952E-06, -0.9676, -0.2055,  6.09842E-06, -0.97866,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40233
457, 153, -0.16716, -6.34327E-06, -0.95645,  0.17216,  6.53305E-06,  0.98507,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39715
458, 152, -0.17019,  6.02854E-06, -0.97392, -0.17214,  6.09757E-06, -0.98507,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.39715
459, 153, -0.16716, -6.34327E-06, -0.95645,  0.17216,  6.53305E-06,  0.98507,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.39715
460, 154, -0.20318,  6.02952E-06, -0.9676, -0.2055,  6.09842E-06, -0.97866,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40233
461, 155, -0.19955, -6.34230E-06, -0.95025,  0.20552,  6.53189E-06,  0.97865,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40233
462, 156, -0.23578,  6.03098E-06, -0.96019, -0.23847,  6.09980E-06, -0.97115,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40749
463, 155, -0.19955, -6.34230E-06, -0.95025,  0.20552,  6.53189E-06,  0.97865,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40233
464, 154, -0.20318,  6.02952E-06, -0.9676, -0.2055,  6.09842E-06, -0.97866,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40233
465, 155, -0.19955, -6.34230E-06, -0.95025,  0.20552,  6.53189E-06,  0.97865,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40233
466, 156, -0.23578,  6.03098E-06, -0.96019, -0.23847,  6.09980E-06, -0.97115,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40749
467, 157, -0.23156, -6.34084E-06, -0.94298,  0.23848,  6.53028E-06,  0.97115,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40749
468, 158, -0.26796,  6.03244E-06, -0.95172, -0.27101,  6.10124E-06, -0.96258,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41263
469, 157, -0.23156, -6.34084E-06, -0.94298,  0.23848,  6.53028E-06,  0.97115,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40749
470, 156, -0.23578,  6.03098E-06, -0.96019, -0.23847,  6.09980E-06, -0.97115,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.40749
471, 157, -0.23156, -6.34084E-06, -0.94298,  0.23848,  6.53028E-06,  0.97115,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.40749
472, 158, -0.26796,  6.03244E-06, -0.95172, -0.27101,  6.10124E-06, -0.96258,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41263
473, 159, -0.26315, -6.33986E-06, -0.93466,  0.27102,  6.52924E-06,  0.96258,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.41263
474, 160, -0.2997,  6.03390E-06, -0.9422, -0.30312,  6.10274E-06, -0.95295,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41774
475, 159, -0.26315, -6.33986E-06, -0.93466,  0.27102,  6.52924E-06,  0.96258,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.41263
476, 158, -0.26796,  6.03244E-06, -0.95172, -0.27101,  6.10124E-06, -0.96258,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41263
477, 159, -0.26315, -6.33986E-06, -0.93466,  0.27102,  6.52924E-06,  0.96258,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.41263
478, 160, -0.2997,  6.03390E-06, -0.9422, -0.30312,  6.10274E-06, -0.95295,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41774
479, 161, -0.29432, -6.33791E-06, -0.92531,  0.30312,  6.52725E-06,  0.95295,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.41774
480, 160, -0.2997,  6.03390E-06, -0.9422, -0.30312,  6.10274E-06, -0.95295,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41774
481, 162, -0.32505, -6.33645E-06, -0.91496,  0.33476,  6.52584E-06,  0.9423,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.42283
482, 161, -0.29432, -6.33791E-06, -0.92531,  0.30312,  6.52725E-06,  0.95295,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.41774
483, 162, -0.32505, -6.33645E-06, -0.91496,  0.33476,  6.52584E-06,  0.9423,  0.00,  0.00,  0.00,  1.00,  0.98948,  0.42283
484, 160, -0.2997,  6.03390E-06, -0.9422, -0.30312,  6.10274E-06, -0.95295,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.41774
485, 163, -0.33099,  6.03536E-06, -0.93166, -0.33477,  6.10430E-06, -0.9423,  1.00,  1.00,  1.00,  1.00,  0.01472,  0.42283
