VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
356, 78,  0.27796,  1.63205,  0.00561, -0.08374, -0.42529, -0.90088,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.16162,  0.21338,  0.16162,  0.21338,  0.16162,  0.93112,  0.063,  0.00589,  0.00, 1, 0, 5, 0
357, 78,  0.27796,  1.63205,  0.00561, -0.08374, -0.42529, -0.90088,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.16162,  0.21338,  0.16162,  0.21338,  0.16162,  0.93112,  0.063,  0.00589,  0.00, 1, 0, 5, 0
358, 79,  0.23688,  1.67954, -0.00807, -0.09393, -0.34912, -0.93213,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.16162,  0.00006,  0.16162,  0.00006,  0.16162,  0.92584,  0.07282,  0.00134,  0.00, 1, 0, 5, 0
359, 74,  0.28822,  1.72644, -0.03006, -0.22974, -0.24609, -0.94141,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.21277,  0.00006,  0.21277,  0.00006,  0.21277,  0.75204,  0.24796,  0.00,  0.00, 1, 0, 0, 0
360, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
361, 79,  0.23688,  1.67954, -0.00807, -0.09393, -0.34912, -0.93213,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.16162,  0.00006,  0.16162,  0.00006,  0.16162,  0.92584,  0.07282,  0.00134,  0.00, 1, 0, 5, 0
362, 78,  0.27796,  1.63205,  0.00561, -0.08374, -0.42529, -0.90088,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.16162,  0.21338,  0.16162,  0.21338,  0.16162,  0.93112,  0.063,  0.00589,  0.00, 1, 0, 5, 0
363, 77,  0.31915,  1.58797,  0.02775, -0.08331, -0.56055, -0.82373,  0.00,  1.00,  1.00,  1.00,  1.00,  0.4812,  0.16162,  0.4812,  0.16162,  0.4812,  0.16162,  0.9227,  0.06827,  0.00905,  0.00, 1, 0, 5, 0
364, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
365, 78,  0.27796,  1.63205,  0.00561, -0.08374, -0.42529, -0.90088,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.16162,  0.21338,  0.16162,  0.21338,  0.16162,  0.93112,  0.063,  0.00589,  0.00, 1, 0, 5, 0
366, 80,  0.22869,  1.58295,  0.03002,  0.1015, -0.43506, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  0.21338,  0.11505,  0.21338,  0.11505,  0.21338,  0.11505,  0.92747,  0.07253,  0.00,  0.00, 1, 5, 0, 0
367, 81,  0.18596,  1.62162,  0.01029,  0.0907, -0.36328, -0.92725,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.11505,  0.00006,  0.11505,  0.00006,  0.11505,  0.93893,  0.06107,  0.00,  0.00, 1, 5, 0, 0
368, 79,  0.23688,  1.67954, -0.00807, -0.09393, -0.34912, -0.93213,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00006,  0.16162,  0.00006,  0.16162,  0.00006,  0.16162,  0.92584,  0.07282,  0.00134,  0.00, 1, 0, 5, 0
369, 76,  0.39349,  1.49925,  0.08328, -0.21899, -0.58936, -0.77734,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16162,  1.00,  0.16162,  1.00,  0.16162,  0.91949,  0.0499,  0.03061,  0.00, 1, 0, 5, 0
370, 82,  0.30997,  1.51249,  0.0868,  0.00642, -0.60742, -0.79443,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.11505,  0.74121,  0.11505,  0.74121,  0.11505,  0.89169,  0.10831,  0.00,  0.00, 1, 5, 0, 0
371, 75,  0.35662,  1.54542,  0.05801, -0.15198, -0.60547, -0.78125,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.16162,  0.74121,  0.16162,  0.74121,  0.16162,  0.93164,  0.05176,  0.01659,  0.00, 1, 0, 5, 0
372, 76,  0.39349,  1.49925,  0.08328, -0.21899, -0.58936, -0.77734,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16162,  1.00,  0.16162,  1.00,  0.16162,  0.91949,  0.0499,  0.03061,  0.00, 1, 0, 5, 0
373, 83,  0.3495,  1.47408,  0.11276, -0.06311, -0.60352, -0.79492,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.11505,  1.00,  0.11505,  1.00,  0.11505,  0.84813,  0.15187,  0.00,  0.00, 1, 5, 0, 0
374, 82,  0.30997,  1.51249,  0.0868,  0.00642, -0.60742, -0.79443,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.11505,  0.74121,  0.11505,  0.74121,  0.11505,  0.89169,  0.10831,  0.00,  0.00, 1, 5, 0, 0
375, 83,  0.3495,  1.47408,  0.11276, -0.06311, -0.60352, -0.79492,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.11505,  1.00,  0.11505,  1.00,  0.11505,  0.84813,  0.15187,  0.00,  0.00, 1, 5, 0, 0
376, 84,  0.2758,  1.48031,  0.10811,  0.17664, -0.59033, -0.7876,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.07587,  0.74121,  0.07587,  0.74121,  0.07587,  0.75236,  0.24764,  0.00,  0.00, 1, 5, 0, 0
377, 82,  0.30997,  1.51249,  0.0868,  0.00642, -0.60742, -0.79443,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.11505,  0.74121,  0.11505,  0.74121,  0.11505,  0.89169,  0.10831,  0.00,  0.00, 1, 5, 0, 0
378, 83,  0.3495,  1.47408,  0.11276, -0.06311, -0.60352, -0.79492,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.11505,  1.00,  0.11505,  1.00,  0.11505,  0.84813,  0.15187,  0.00,  0.00, 1, 5, 0, 0
379, 85,  0.31598,  1.44857,  0.13582,  0.09711, -0.61768, -0.78076,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.0752,  1.00,  0.0752,  1.00,  0.0752,  0.70027,  0.29973,  0.00,  0.00, 1, 5, 0, 0
380, 84,  0.2758,  1.48031,  0.10811,  0.17664, -0.59033, -0.7876,  0.00,  1.00,  1.00,  1.00,  1.00,  0.74121,  0.07587,  0.74121,  0.07587,  0.74121,  0.07587,  0.75236,  0.24764,  0.00,  0.00, 1, 5, 0, 0
